Id,Class,Preferred_EX_Length,Reason_Used,Process_Difficulty,Comfortability,Importance_Meeting_OG_Deadline,Pressure_Meeting_OG_Deadline,Pressure_Felt_To_CompleteHW,Importance_Meeting_Deadlines_OtherClasses,Importance_Meeting_Deadlines_OtherClasses_STRICT,Extension_Pressure_Impact,Preferred_HW_EX_AMT,Preferred_Read_EX_AMT,HW_ImportanceValue,Reason_One_EX_Leftover,Reason_No_EX_Used,Majority_of_Homework_DoneBy,Extension_Impact_onQuality,Strict_Deadline_Effect,Should_Extensions_In_All_CSCSFE,Should_Extensions_In_AllCourses,Year,Age,Est_GPA,HS_Type,num_exts,ext_1_reqd_correctly,ext_2_reqd_correctly,days_after_ ext_1_sub,days_after_ext_2_sub,num_of_late_submissions,num_of_late_submissions_with_extensions,num_of_late_submissions_without_extensions,num_of_no_submissions_with_extensions,num_of_no_submissions_without_extensions,Final_Score,Final_Exam_Score
23,CSC 344: Algorithms and Complexity,One week,"I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time;I did not know c++ before starting the class so while I thought I’d left myself plenty of time to do the hw, I often spent way more time than anticipated researching syntax and why my code wasn’t working. I was a little frustrated with the fact that I had to take a full week extension when I only needed a few hours and I would have rather saved at least one full week extension for an emergency or when class work piles up towards the end of the semester ;",Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,Zero Pressure,,Exceptionally High Pressure,,3,2,not at all,,,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes;,Yes;,Senior,21,3.5 - 4.0,Private Religious High School;,2,2,3,3.84,3.97,3,2,1,0,1,97.66,92.12
25,CSC 261: Databases,One week,"I had other assignments due around the same time;Emergency or family concerns;I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",Very Straightforward and Easy,Very comfortable,,,,Extremely Important,,,3,3,"yes, a little bit","I didn't need it, so I didn't take it;",,2 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,Yes;,Sophomore,19,2.5 - 2.99,Public High School;,2,3,5,1.89,3.11,3,2,1,0,0,86.32,65
26,CSC 261: Databases,One week,I didn't take an extension at all;,Very Straightforward and Easy,Neither comfortable nor uncomfortable,Extremely Important,,,Extremely Important,Exceptionally High Pressure,It made no impact one way or another,2,2,not really,I wanted to save it for an emergency;,I wanted to save all of them for emergencies only;,3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,Yes;,Sophomore,20,2.5 - 2.99,Private Religious High School;,,,,,,,,,,,,
27,CSC 261: Databases,One week,"I started the assignment early enough, but waited too long to get most of it done;",Very Straightforward and Easy,Somewhat uncomfortable,Extremely Important,,,,Exceptionally High Pressure,,2,2,not really,"I didn't need it, so I didn't take it;",,2 days before the deadline,,,Yes;,Yes;,Sophomore,19,,Public High School;,0,0,0,0,0,0,0,0,0,0,98.84,114
28,CSC 144: Object Oriented Programming,One week,"I started the assignment early enough, but waited too long to get most of it done;I forgot the assignment was due;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",,Neither comfortable nor uncomfortable,,,,,,It made no impact one way or another,3,3,not really,"I didn't need it, so I didn't take it;",,2 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,Yes;,Sophomore,18,4.0+,Private Religious High School;,1,5,0,2.93,0,2,1,1,0,0,106.92,126.69
29,CSC 144: Object Oriented Programming,One week,I had other assignments due around the same time;,Very Straightforward and Easy,Very comfortable,,,,,Exceptionally High Pressure,,3,3,not really,I wanted to save it for an emergency;,,1 day before the deadline,,,Yes;,"Yes, but with changes (include changes in ""other"" option below);i think this is highly dependent on the class. in a class where you only have 3-4 grades for the whole semester, extensions would be terribly unhelpful. but classes where there are lots of grades, extensions are good because more frequent assignments = less flexibility, but having extensions gives you back that flexibility you would have in a course where you have the whole semester to write 2 big papers, for example.;",Freshman,20,4.0+,Private Non-Religious High School;Private Religious High School;,1,5,0,4.98,0,1,1,0,0,0,110.44,123.46
31,CSC 144: Object Oriented Programming,3 Days,I didn't take an extension at all;,,,Extremely Important,,,Extremely Important,,,3,2,not really,,"I didn't need them at all, so I didn't take them;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.;",3 days before the deadline,,,Yes;,No;,Junior,19,3.5 - 4.0,Public High School;Homeschool;I received online public schooling at home.;,0,0,0,0,0,0,0,0,0,0,112.62,116
32,CSC 144: Object Oriented Programming,5 Days,I didn't take an extension at all;,,,Extremely Important,Exceptionally High Pressure,,Extremely Important,Exceptionally High Pressure,,2,2,not really,,"I didn't need them at all, so I didn't take them;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.;I didn't want to take one because I would feel guilty, ashamed, or feel badly about myself in another way.;I wanted to save all of them for emergencies only;",1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,No;,Freshman,18,4.0+,Homeschool;,0,0,0,0,0,0,0,0,0,0,117.32,127.77
34,CSC 344: Algorithms and Complexity,3 Days,I waited too long to start the assignment;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;,Very Straightforward and Easy,Very comfortable,Extremely Important,,,Extremely Important,,,3,3,not really,,,2 days before the deadline,,,Yes;,Yes;,Junior,20,2.0 - 2.49,Homeschool;,2,5,7,3.6,5.65,2,2,0,0,0,88.45,64.5
35,CSC 261: Databases,2 Days,"I had other assignments due around the same time;I started the assignment early enough, but waited too long to get most of it done;I waited too long to start the assignment",,Very comfortable,Extremely Important,,Zero Pressure,Extremely Important,Exceptionally High Pressure,Eliminated the pressure completely,2,1,not at all,,,2 days before the deadline,,This policy would not impact the quality of the course overall,Yes,Yes,Junior,,2.5 - 2.99,Private Religious High School,2,3,4,3.59,6.95,3,2,1,0,0,80.74,47
36,CSC 144: Object Oriented Programming,One week,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,,,2,2,not at all,,I wanted to save all of them for emergencies only,3 days before the deadline,,This policy would not impact the quality of the course overall,Yes,Yes,Freshman,,3.5 - 4.0,Homeschool,0,0,0,0,0,0,0,0,0,0,97.51,100.08
39,CSC 344: Algorithms and Complexity,3 Days,"I had other assignments due around the same time;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",,Neither comfortable nor uncomfortable,,,,,,,3,3,not really,I wanted to save it for an emergency,"I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",2 days before the deadline,,,"If the course work is heavy, yes. ",Yes,Senior,,3.0 - 3.49,Homeschool,2,4,8,6.78,6.67,3,2,1,0,0,87.94,76.58
41,CSC 344: Algorithms and Complexity,One week,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I waited too long to start the assignment",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,,2,2,not at all,"I wanted to save it for an emergency;I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.",,2 days before the deadline,,,Yes,Yes,Senior,,3.5 - 4.0,Private Religious High School,1,4,0,1.36,0,3,1,2,0,0,97.56,100.49
42,CSC 344: Algorithms and Complexity,One week,"I had other assignments due around the same time;I started the assignment early enough, but waited too long to get most of it done",Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,,,,,2,2,not at all,"I didn't need it, so I didn't take it;I wanted to save it for an emergency",,LESS THAN 1 day before the deadline,,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);It can't be used effectively in classes with very few assignments or in classes where reading is essential for engagement during lectures/discussions.",Junior,,4.0+,Private Religious High School,1,4,0,5.68,0,1,1,0,0,0,108.15,110.04
43,CSC 344: Algorithms and Complexity,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",,Somewhat uncomfortable,Extremely Important,,,Extremely Important,Exceptionally High Pressure,,3,3,not at all,I wanted to save it for an emergency,"I didn't want to take one because I would feel guilty, ashamed, or feel badly about myself in another way.;I didn't want the instructor to think negatively of me.",1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Senior,,3.0 - 3.49,Public High School,,,,,,,,,,,,
44,CSC 144: Object Oriented Programming,4 Days,I waited too long to start the assignment,Very Straightforward and Easy,Somewhat comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,,2,2,not at all,"I didn't need it, so I didn't take it",,LESS THAN 1 day before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,3.5 - 4.0,Public High School,2,6,8,6.98,6.96,2,2,0,0,0,94.23,143.54
45,CSC 261: Databases,1 Day,"Emergency or family concerns;I wanted to do the reading with the homework, so i extended the part 1 readings to do them with part 2 and hw",Very Straightforward and Easy,Somewhat comfortable,Not at all important,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,"On every assignment, if needed","yes, a little bit","I didn't need it, so I didn't take it",,LESS THAN 1 day before the deadline,Made the course significantly better,,"Yes, but with changes (include changes in ""other"" option below);accounting for things such as retreats",No,Sophomore,,3.5 - 4.0,Private Religious High School,2,4,5,6.69,5.62,2,2,0,0,0,99.57,120
46,CSC 261: Databases,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I forgot the assignment was due;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,,3,3,not at all,,,LESS THAN 1 day before the deadline,,,No,No,Senior,,3.0 - 3.49,Public High School,2,3,4,7,5.92,2,2,0,0,1,78.44,91
47,CSC 261: Databases,More than one week,I didn't take an extension at all,,,Extremely Important,Exceptionally High Pressure,,Extremely Important,,,3,3,"yes, definitely",,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",5 OR MORE days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,No,No,Sophomore,,3.5 - 4.0,Private Religious High School,0,0,0,0,0,0,0,0,0,0,103.78,120
49,CSC 261: Databases,One week,"I could have completed it on time, but I didn't want the pressure;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,,3,3,not at all,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;I didn't need it, so I didn't take it",,LESS THAN 1 day before the deadline,,,Yes,Yes,Senior,,2.5 - 2.99,Public High School,1,5,0,-1,0,2,0,2,1,1,86.94,92
52,CSC 261: Databases,One week,"I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure",,Very uncomfortable,,,,Extremely Important,,,2,0,not at all,,,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes,No,Sophomore,,2.5 - 2.99,Public High School,2,3,4,6.87,5.65,2,2,0,0,0,89.36,77
53,CSC 261: Databases,One week,"I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure;my job would get busy randomly through the semester",Very Straightforward and Easy,Very comfortable,,,,,,,3,2,not at all,"I didn't need it, so I didn't take it",,2 days before the deadline,Made the course significantly better,,Yes,Yes,Junior,,3.5 - 4.0,Public High School,1,4,0,5.44,0,1,1,0,0,0,99.62,115
54,CSC 344: Algorithms and Complexity,One week,"I had other assignments due around the same time;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time;used the extra time for my job",Very Straightforward and Easy,Very comfortable,,,,,,,3,2,not at all,"I didn't need it, so I didn't take it",,2 days before the deadline,,This policy would make the course significantly worse,Yes,Yes,Junior,,3.5 - 4.0,Public High School,2,1,3,6.53,6.99,4,2,2,0,0,94.33,93.2
55,CSC 144: Object Oriented Programming,One week,"I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very comfortable,Extremely Important,Exceptionally High Pressure,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,3 days before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,,Homeschool,1,6,0,6.66,0,1,1,0,0,0,96.09,92.23
57,CSC 261: Databases,3 Days,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,,,3,2,not really,,"I didn't need them at all, so I didn't take them",1 day before the deadline,,,Yes,No,Junior,,3.5 - 4.0,Homeschool;Public High School;I received online public schooling at home.,0,0,0,0,0,0,0,0,0,0,94.56,97
60,CSC 144: Object Oriented Programming,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Somewhat uncomfortable,,,,,,,2,1,not at all,"I didn't need it, so I didn't take it",,4 days before the deadline,,,Yes,Yes,Freshman,,3.5 - 4.0,Homeschool,1,8,0,1.53,0,1,1,0,0,0,101.99,108.69
61,CSC 144: Object Oriented Programming,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure",Very Straightforward and Easy,Somewhat comfortable,Extremely Important,,,,,It made no impact one way or another,3,2,not at all,"I didn't need it, so I didn't take it;A. I heard there was extra credit when not using them at first so I did my best avoiding taking them B. Having two made me more cautious about when to use them",,1 day before the deadline,,,"Yes, but with changes (include changes in ""other"" option below);I believe if you are going to continue readings to have 2 for them, as for quest logs I say 3 for more work is required for them over the readings","Yes, but with changes (include changes in ""other"" option below);Would be great depending on the class, I say math class be a great one as work in there can sometimes get overwhelming",Sophomore,,3.5 - 4.0,Private Religious High School,1,6,0,4.71,0,2,1,1,0,0,93.5,87.23
62,CSC 144: Object Oriented Programming,One week,"I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time;I forgot the assignment was due;I had other assignments due around the same time;I started the assignment early enough, but waited too long to get most of it done",,Somewhat comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,,2,2,not really,,,3 days before the deadline,,This policy would make the course significantly worse,"Yes, but with changes (include changes in ""other"" option below);I think that you could have more extensions but of less days.","Yes, but with changes (include changes in ""other"" option below)",Junior,,3.5 - 4.0,Homeschool;Private Religious High School,2,4,6,7.02,6.76,3,2,1,1,0,99.81,101.38
63,CSC 144: Object Oriented Programming,One week,Emergency or family concerns,Very Straightforward and Easy,Very uncomfortable,Extremely Important,,,Extremely Important,,,3,3,not at all,"I didn't need it, so I didn't take it",,2 days before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,3.0 - 3.49,Private Religious High School,1,4,0,5.96,0,1,1,0,0,0,108.71,107.38
64,CSC 144: Object Oriented Programming,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,,3,2,not really,,,LESS THAN 1 day before the deadline,Made the course significantly better,,Yes,"Yes, but with changes (include changes in ""other"" option below);I think it would need to be adjusted according to the class type, because essays and worksheets and quest logs are all different and should be treated differently.",Junior,,3.0 - 3.49,Private Religious High School,,,,,,,,,,,,
66,CSC 344: Algorithms and Complexity,One week,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,Exceptionally High Pressure,It made no impact one way or another,2,2,not at all,,"I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",4 days before the deadline,,,Yes,Yes,Senior,,3.5 - 4.0,Homeschool;Public High School,0,0,0,0,0,0,0,0,0,0,102.71,98.07
67,CSC 261: Databases,One week,"I waited too long to start the assignment;I had other assignments due around the same time;Emergency or family concerns;I could have completed it on time, but I didn't want the pressure",Very Straightforward and Easy,Very uncomfortable,,,Zero Pressure,,,,2,2,"yes, a little bit",,,1 day before the deadline,,,"Yes, but with changes (include changes in ""other"" option below);Depends on the assignment not everything should have an extension allowed.",No,Senior,,2.5 - 2.99,Public High School,,,,,,,,,,,,
68,CSC 144: Object Oriented Programming,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I waited too long to start the assignment",Very Straightforward and Easy,Very comfortable,Extremely Important,Exceptionally High Pressure,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,1,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,5 OR MORE days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Sophomore,,3.0 - 3.49,Public High School,2,4,5,6.92,6.96,2,1,0,0,0,107.5,99.85
69,CSC 261: Databases,One week,I had other assignments due around the same time;illness,,Somewhat comfortable,Extremely Important,,,,,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,LESS THAN 1 day before the deadline,,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);Assuming that it is applicable to assignment type. I.E. not for presentations or group projects",Sophomore,,3.5 - 4.0,Private Religious High School,1,4,0,6.99,0,2,1,1,0,0,89.4,75
