Id,Class,Preferred_EX_Length,Reason_Used,Process_Difficulty,Comfortability,Importance_Meeting_OG_Deadline,Pressure_Meeting_OG_Deadline,Pressure_Felt_To_CompleteHW,Importance_Meeting_Deadlines_OtherClasses,Importance_Meeting_Deadlines_OtherClasses_STRICT,Extension_Pressure_Impact,Preferred_HW_EX_AMT,Preferred_Read_EX_AMT,HW_ImportanceValue,Reason_One_EX_Leftover,Reason_No_EX_Used,Majority_of_Homework_DoneBy,Extension_Impact_onQuality,Strict_Deadline_Effect,Extensions_In_All_CSCSFE,Extensions_In_AllCourses,Year,Age,Est_GPA,HS_Type,Final_Score,Extension_1,Extension_2,Total_Extensions
11,CSC 261: Databases,5 Days,"I had other assignments due around the same time;I waited too long to start the assignment;Emergency or family concerns;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I could have completed it on time, but I didn't want the pressure;",,Very comfortable,Not at all important,,Zero Pressure,,,It made no impact one way or another,2,2,not really,,,LESS THAN 1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,"Yes, but with changes (include changes in ""other"" option below);Depends on the assignment, I don't think you should get handouts with more important work in classes.;",Senior,23,2.5 - 2.99,Public High School;,100.17,1,1,2
12,CSC 261: Databases,One week,I waited too long to start the assignment;I had other assignments due around the same time;I forgot the assignment was due;,Very Straightforward and Easy,Very comfortable,,,,,,Majority_of_Homework_DoneBy,2,2,not at all,"I didn't need it, so I didn't take it;I wanted to save it for an emergency;",,LESS THAN 1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,Yes;,Senior,19,3.0 - 3.49,Homeschool;Dual Enrollment/Early Admissions;,103.27,0,0,0
13,CSC 261: Databases,1 Day,I forgot the assignment was due;,Very Straightforward and Easy,Very uncomfortable,,,,,,,3,1,not at all,"I didn't need it, so I didn't take it;",i took one;,3 days before the deadline,,,Yes;,Yes;,Junior,20,2.0 - 2.49,Private Religious High School;,XXXXX,,,
14,CSC 261: Databases,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I waited too long to start the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it;",,2 days before the deadline,,,Yes;,No;,Sophomore,19,3.5 - 4.0,Private Religious High School;,100.76,1,0,1
15,CSC 261: Databases,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure;I started the assignment early enough, but waited too long to get most of it done;Had retreat over a weekend and wanted to focus on that ;",Very Straightforward and Easy,Very comfortable,Extremely Important,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,"Yes, but with changes (include changes in ""other"" option below);If it is an essay, depending on the progress of the essay, it could be a couple days instead of a week;",Junior,23,3.5 - 4.0,Public High School;,98.85,1,1,2
16,CSC 261: Databases,One week,I didn't take an extension at all;,,,Extremely Important,,,,,,2,2,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;",3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,No;,Sophomore,19,3.5 - 4.0,Private Religious High School;,101.76,0,0,0
17,CSC 144: Object Oriented Programming,2 Days,I didn't take an extension at all;,,,,,,Extremely Important,Exceptionally High Pressure,,1,2,not at all,,"I didn't need them at all, so I didn't take them;",5 OR MORE days before the deadline,,,Yes;,Yes;,Freshman,19,4.0+,Private Religious High School;,117.77,0,0,0
18,CSC 261: Databases,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure;",Very Straightforward and Easy,Somewhat comfortable,,,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;",,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,No;,Sophomore,19,3.0 - 3.49,Public High School;Homeschool;,102.95,1,1,2
19,CSC 261: Databases,One week,"I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I could have completed it on time, but I didn't want the pressure;I wanted more time to do a better job on the assignment, or get more work done on it;",Very Straightforward and Easy,Very comfortable,Extremely Important,,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,"I didn't need it, so I didn't take it;I wanted to save it for an emergency;",,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes;,Very much depends on the class;,Freshman,18,4.0+,Private Religious High School;,104.36,1,0,1
20,CSC 261: Databases,One week,"I started the assignment early enough, but waited too long to get most of it done;I waited too long to start the assignment;",,Very comfortable,,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,1 day before the deadline,Made the course significantly better,,Yes;,"Yes, but with changes (include changes in ""other"" option below);There would need to be some kind of adjustment for classes with a lot of assignments that are easy to fall behind if you try doing two weeks of homework at once.;",Sophomore,24+,3.0 - 3.49,Homeschool;G.E.D.;,101.79,1,1,2
21,CSC 261: Databases,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;I could have completed it on time, but I didn't want the pressure;",,Very uncomfortable,,,,,Exceptionally High Pressure,,3,3,"yes, a little bit","I didn't need it, so I didn't take it;",,4 days before the deadline,Made the course significantly better,,Yes;,Yes;,Sophomore,19,2.0 - 2.49,Homeschool;,88.29,1,1,2
22,CSC 261: Databases,One week,i'm not sure at this point;,Very Straightforward and Easy,Very uncomfortable,,,,,,,3,3,"yes, a little bit","I didn't need it, so I didn't take it;",,1 day before the deadline,,,Yes;,Yes;,Junior,23,3.5 - 4.0,Public High School;,95.36,1,0,1
23,CSC 344: Algorithms and Complexity,One week,"I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time;I did not know c++ before starting the class so while I thought I’d left myself plenty of time to do the hw, I often spent way more time than anticipated researching syntax and why my code wasn’t working. I was a little frustrated with the fact that I had to take a full week extension when I only needed a few hours and I would have rather saved at least one full week extension for an emergency or when class work piles up towards the end of the semester ;",Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,Zero Pressure,,Exceptionally High Pressure,,3,2,not at all,,,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes;,Yes;,Senior,21,3.5 - 4.0,Private Religious High School;,97.66,1,1,2
24,CSC 261: Databases,4 Days,"I wanted more time to do a better job on the assignment, or get more work done on it;I had other assignments due around the same time;",,Neither comfortable nor uncomfortable,,,,,,,2,2,not at all,I wanted to save it for an emergency;,,1 day before the deadline,,,Yes;,Yes;,Sophomore,20,,Private Religious High School;,47.02,1,0,1
25,CSC 261: Databases,One week,"I had other assignments due around the same time;Emergency or family concerns;I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",Very Straightforward and Easy,Very comfortable,,,,Extremely Important,,,3,3,"yes, a little bit","I didn't need it, so I didn't take it;",,2 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes;,Yes;,Sophomore,19,2.5 - 2.99,Public High School;,86.32,1,1,2
26,CSC 261: Databases,One week,I didn't take an extension at all;,Very Straightforward and Easy,Neither comfortable nor uncomfortable,Extremely Important,,,Extremely Important,Exceptionally High Pressure,It made no impact one way or another,2,2,not really,I wanted to save it for an emergency;,I wanted to save all of them for emergencies only;,3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,Yes;,Sophomore,20,2.5 - 2.99,Private Religious High School;,XXXXX,,,
27,CSC 261: Databases,One week,"I started the assignment early enough, but waited too long to get most of it done;",Very Straightforward and Easy,Somewhat uncomfortable,Extremely Important,,,,Exceptionally High Pressure,,2,2,not really,"I didn't need it, so I didn't take it;",,2 days before the deadline,,,Yes;,Yes;,Sophomore,19,Didn't have a GPA,Public High School;,98.84,0,0,0
28,CSC 144: Object Oriented Programming,One week,"I started the assignment early enough, but waited too long to get most of it done;I forgot the assignment was due;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;",,Neither comfortable nor uncomfortable,,,,,,It made no impact one way or another,3,3,not really,"I didn't need it, so I didn't take it;",,2 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,Yes;,Sophomore,18,4.0+,Private Religious High School;,106.92,1,0,1
29,CSC 144: Object Oriented Programming,One week,I had other assignments due around the same time;,Very Straightforward and Easy,Very comfortable,,,,,Exceptionally High Pressure,,3,3,not really,I wanted to save it for an emergency;,,1 day before the deadline,,,Yes;,"Yes, but with changes (include changes in ""other"" option below);i think this is highly dependent on the class. in a class where you only have 3-4 grades for the whole semester, extensions would be terribly unhelpful. but classes where there are lots of grades, extensions are good because more frequent assignments = less flexibility, but having extensions gives you back that flexibility you would have in a course where you have the whole semester to write 2 big papers, for example.;",Freshman,20,4.0+,Private Non-Religious High School;Private Religious High School;,110.44,1,0,1
30,CSC 261: Databases,One week,I didn't take an extension at all;,Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,,,,It made no impact one way or another,3,3,not really,"I wanted to save it for an emergency;I didn't need it, so I didn't take it;","I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.;",2 days before the deadline,,This policy would not impact the quality of the course overall,Yes;,Yes;,Sophomore,20,2.5 - 2.99,Private Religious High School;,XXXXX,,,
31,CSC 144: Object Oriented Programming,3 Days,I didn't take an extension at all;,,,Extremely Important,,,Extremely Important,,,3,2,not really,,"I didn't need them at all, so I didn't take them;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.;",3 days before the deadline,,,Yes;,No;,Junior,19,3.98,Public High School;Homeschool;I received online public schooling at home.;,112.62,0,0,0
32,CSC 144: Object Oriented Programming,5 Days,I didn't take an extension at all;,,,Extremely Important,Exceptionally High Pressure,,Extremely Important,Exceptionally High Pressure,,2,2,not really,,"I didn't need them at all, so I didn't take them;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.;I didn't want to take one because I would feel guilty, ashamed, or feel badly about myself in another way.;I wanted to save all of them for emergencies only;",1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,No;,Freshman,18,4.0+,Homeschool;,117.32,0,0,0
33,CSC 144: Object Oriented Programming,5 Days,I didn't take an extension at all;,,,Extremely Important,Exceptionally High Pressure,,Extremely Important,Exceptionally High Pressure,It made no impact one way or another,3,3,"yes, a little bit",,"I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.;",1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;,Yes;,Freshman,18,,Public High School;,105.95,0,0,0
34,CSC 344: Algorithms and Complexity,3 Days,I waited too long to start the assignment;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;,Very Straightforward and Easy,Very comfortable,Extremely Important,,,Extremely Important,,,3,3,not really,,,2 days before the deadline,,,Yes;,Yes;,Junior,20,2.0 - 2.49,Homeschool;,88.45,1,1,2
35,CSC 261: Databases,2 Days,"I had other assignments due around the same time;I started the assignment early enough, but waited too long to get most of it done;I waited too long to start the assignment",,Very comfortable,Extremely Important,,Zero Pressure,Extremely Important,Exceptionally High Pressure,Eliminated the pressure completely,2,1,not at all,,,2 days before the deadline,,This policy would not impact the quality of the course overall,Yes,Yes,Junior,,2.5 - 2.99,Private Religious High School,80.74,1,1,2
36,CSC 144: Object Oriented Programming,One week,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,,,2,2,not at all,,I wanted to save all of them for emergencies only,3 days before the deadline,,This policy would not impact the quality of the course overall,Yes,Yes,Freshman,,3.5 - 4.0,Homeschool,97.51,0,0,0
37,CSC 144: Object Oriented Programming,2 Days,"I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I could have completed it on time, but I didn't want the pressure;I had other assignments due around the same time",I had a lot of trouble figuring out what I needed to do,Somewhat uncomfortable,,,,Extremely Important,,,2,2,"yes, a little bit","I wanted to save it for an emergency;I didn't know I could request extensions until later in the semester, but I didn't end up needing more than the extension(s) I took.",I wanted to save all of them for emergencies only,2 days before the deadline,Made the course significantly worse,This policy would make the course significantly worse,"Yes, but with changes (include changes in ""other"" option below);To allow late requested extensions",Yes,Freshman,,3.5 - 4.0,Public High School,92.21,1,1,2
38,CSC 144: Object Oriented Programming,One week,I didn't take an extension at all,,,Extremely Important,,,,,,1,1,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.;I didn't want to take one because I would feel guilty, ashamed, or feel badly about myself in another way.;I didn't want the instructor to think negatively of me.",5 OR MORE days before the deadline,,,Yes,Yes,Freshman,,4.0+,Private Religious High School,116.49,0,0,0
39,CSC 344: Algorithms and Complexity,3 Days,"I had other assignments due around the same time;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",,Neither comfortable nor uncomfortable,,,,,,,3,3,not really,I wanted to save it for an emergency,"I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",2 days before the deadline,,,"If the course work is heavy, yes. ",Yes,Senior,,3.0 - 3.49,Homeschool,87.94,1,1,2
40,CSC 344: Algorithms and Complexity,One week,"I had other assignments due around the same time;I haven't taken one yet, but I am thinking of taking one this week for the reason I checked off",,,Extremely Important,,,,,,3,3,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only",2 days before the deadline,,,Yes,Yes,Junior,,4.0+,Private Religious High School,98.78,0,0,0
41,CSC 344: Algorithms and Complexity,One week,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I waited too long to start the assignment",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,,2,2,not at all,"I wanted to save it for an emergency;I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.",,2 days before the deadline,,,Yes,Yes,Senior,,3.5 - 4.0,Private Religious High School,97.56,1,0,1
42,CSC 344: Algorithms and Complexity,One week,"I had other assignments due around the same time;I started the assignment early enough, but waited too long to get most of it done",Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,,,,,2,2,not at all,"I didn't need it, so I didn't take it;I wanted to save it for an emergency",,LESS THAN 1 day before the deadline,,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);It can't be used effectively in classes with very few assignments or in classes where reading is essential for engagement during lectures/discussions.",Junior,,4.0+,Private Religious High School,108.15,1,0,1
43,CSC 344: Algorithms and Complexity,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",,Somewhat uncomfortable,Extremely Important,,,Extremely Important,Exceptionally High Pressure,,3,3,not at all,I wanted to save it for an emergency,"I didn't want to take one because I would feel guilty, ashamed, or feel badly about myself in another way.;I didn't want the instructor to think negatively of me.",1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Senior,,3.0 - 3.49,Public High School,88.36,1,1,2
44,CSC 144: Object Oriented Programming,4 Days,I waited too long to start the assignment,Very Straightforward and Easy,Somewhat comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,,2,2,not at all,"I didn't need it, so I didn't take it",,LESS THAN 1 day before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,3.5 - 4.0,Public High School,94.23,1,1,2
45,CSC 261: Databases,1 Day,"Emergency or family concerns;I wanted to do the reading with the homework, so i extended the part 1 readings to do them with part 2 and hw",Very Straightforward and Easy,Somewhat comfortable,Not at all important,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,"On every assignment, if needed","yes, a little bit","I didn't need it, so I didn't take it",,LESS THAN 1 day before the deadline,Made the course significantly better,,"Yes, but with changes (include changes in ""other"" option below);accounting for things such as retreats",No,Sophomore,,3.5 - 4.0,Private Religious High School,99.57,1,1,2
46,CSC 261: Databases,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I forgot the assignment was due;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,,3,3,not at all,,,LESS THAN 1 day before the deadline,,,No,No,Senior,,3.0 - 3.49,Public High School,78.44,1,1,2
47,CSC 261: Databases,More than one week,I didn't take an extension at all,,,Extremely Important,Exceptionally High Pressure,,Extremely Important,,,3,3,"yes, definitely",,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",5 OR MORE days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,No,No,Sophomore,,3.5 - 4.0,Private Religious High School,103.78,0,0,0
48,CSC 144: Object Oriented Programming,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I forgot the assignment was due",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,Extremely Important,,,3,3,not really,,,2 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Sophomore,,2.5 - 2.99,Private Religious High School,XXXXX,,,
49,CSC 261: Databases,One week,"I could have completed it on time, but I didn't want the pressure;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,,3,3,not at all,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;I didn't need it, so I didn't take it",,LESS THAN 1 day before the deadline,,,Yes,Yes,Senior,,2.5 - 2.99,Public High School,86.94,1,0,1
50,CSC 261: Databases,3 Days,I waited too long to start the assignment;I forgot the assignment was due,,Neither comfortable nor uncomfortable,,,,,,,3,3,not at all,used all,,1 day before the deadline,,,Yes,Yes,Sophomore,,2.0 - 2.49,Private Religious High School,70.4,1,0,1
51,CSC 261: Databases,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very uncomfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,,3,3,not really,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;I didn't need it, so I didn't take it",,LESS THAN 1 day before the deadline,,,Yes,Yes,Senior,,2.5 - 2.99,Public High School,XXXXX,,,
52,CSC 261: Databases,One week,"I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure",,Very uncomfortable,,,,Extremely Important,,,2,0,not at all,,,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes,No,Sophomore,,2.5 - 2.99,Public High School,89.36,1,1,2
53,CSC 261: Databases,One week,"I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure;my job would get busy randomly through the semester",Very Straightforward and Easy,Very comfortable,,,,,,,3,2,not at all,"I didn't need it, so I didn't take it",,2 days before the deadline,Made the course significantly better,,Yes,Yes,Junior,,3.5 - 4.0,Public High School,99.62,1,0,1
54,CSC 344: Algorithms and Complexity,One week,"I had other assignments due around the same time;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time;used the extra time for my job",Very Straightforward and Easy,Very comfortable,,,,,,,3,2,not at all,"I didn't need it, so I didn't take it",,2 days before the deadline,,This policy would make the course significantly worse,Yes,Yes,Junior,,3.5 - 4.0,Public High School,94.33,1,1,2
55,CSC 144: Object Oriented Programming,One week,"I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very comfortable,Extremely Important,Exceptionally High Pressure,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,3 days before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,,Homeschool,96.09,1,0,1
56,CSC 144: Object Oriented Programming,One week,"I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Somewhat comfortable,,,,,,,2,2,not at all,I wanted to save it for an emergency,,2 days before the deadline,,,Yes,Yes,Freshman,,3.5 - 4.0,Private Religious High School,87.32,1,0,1
57,CSC 261: Databases,3 Days,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,,,3,2,not really,,"I didn't need them at all, so I didn't take them",1 day before the deadline,,,Yes,No,Junior,,3.98,Homeschool;Public High School;I received online public schooling at home.,94.56,0,0,0
58,CSC 144: Object Oriented Programming,One week,I had other assignments due around the same time;I didn't have the motivation to finish the assignment;I forgot the assignment was due,Very Straightforward and Easy,Very comfortable,,,Zero Pressure,,Exceptionally High Pressure,,2,4,not at all,"I didn't need it, so I didn't take it",,5 OR MORE days before the deadline,Made the course significantly better,,Yes,Yes,Senior,,2.5 - 2.99,Private Religious High School,XXXXX,,,
59,CSC 144: Object Oriented Programming,One week,"I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure;I wanted more time to do a better job on the assignment, or get more work done on it",,Very uncomfortable,Extremely Important,,,,,,2,2,not at all,,,1 day before the deadline,,This policy would not impact the quality of the course overall,Yes,Yes,Junior,,3.5 - 4.0,Public High School,105.56,1,1,2
60,CSC 144: Object Oriented Programming,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Somewhat uncomfortable,,,,,,,2,1,not at all,"I didn't need it, so I didn't take it",,4 days before the deadline,,,Yes,Yes,Freshman,,3.5 - 4.0,Homeschool,101.99,1,0,1
61,CSC 144: Object Oriented Programming,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure",Very Straightforward and Easy,Somewhat comfortable,Extremely Important,,,,,It made no impact one way or another,3,2,not at all,"I didn't need it, so I didn't take it;A. I heard there was extra credit when not using them at first so I did my best avoiding taking them B. Having two made me more cautious about when to use them",,1 day before the deadline,,,"Yes, but with changes (include changes in ""other"" option below);I believe if you are going to continue readings to have 2 for them, as for quest logs I say 3 for more work is required for them over the readings","Yes, but with changes (include changes in ""other"" option below);Would be great depending on the class, I say math class be a great one as work in there can sometimes get overwhelming",Sophomore,,3.5 - 4.0,Private Religious High School,93.5,1,0,1
